diameter,max_degree,clustering_coefficient,betweeness,closeness,page_rank,average_relationship_score,protagonist_count,antagonist_count,book,epoch,graph_file,protagonists,antagonists
7.0,111,0.004112363276073636,0.003934636314429375,0.24474719884703905,0.0026881720430107525,1.0087719298245614,174,83,bez_dogmatu,pozytywizm,bez_dogmatu.csv,"| Character | Score |
| --- | ---: |
| Anielka | 457.00 |
| narrator | 100.00 |
| Narrator | 100.00 |
| Klara | 47.00 |
| Leon | 44.00 |","| Character | Score |
| --- | ---: |
| Kromicki | -72.00 |
| Łęcka | -12.00 |
| Chwastowski | -11.00 |
| Makbet | -8.00 |
| Banko | -8.00 |"
9.0,128,0.0043922654185354635,0.0027899712704380405,0.22569075522424797,0.0013698630136986301,0.14556962025316456,248,231,chata_za_wsia,pozytywizm,chata_za_wsia.csv,"| Character | Score |
| --- | ---: |
| Marysia | 199.00 |
| matka | 43.00 |
| Romeo | 34.00 |
| Motruna | 30.00 |
| Julia | 29.00 |","| Character | Score |
| --- | ---: |
| Tumry | -44.00 |
| Lepiuk | -38.00 |
| Aprasz | -35.00 |
| Maxym | -17.00 |
| stary | -16.00 |"
9.0,12,0.013146557878168048,0.00014670852622149824,0.009452361887921373,0.0030959752321981426,-0.2701612903225806,46,88,darwin_o_powstawaniu_gatunkow,pozytywizm,darwin_o_powstawaniu_gatunkow.csv,"| Character | Score |
| --- | ---: |
| Autor | 3.00 |
| ogrodnicy | 3.00 |
| narrator | 3.00 |
| author | 2.00 |
| dr Hooker | 2.00 |","| Character | Score |
| --- | ---: |
| Lobelia fulgens | -8.00 |
| F. sanguinea | -8.00 |
| T. pratense | -7.00 |
| myszy polne | -6.00 |
| kury | -6.00 |"
17.0,251,0.002383973909857045,0.0007599540146868476,0.10477666722301285,0.0005216484089723527,-0.06774040738986263,474,526,gargantua_i_pantagruel,renesans,gargantua_i_pantagruel.csv,"| Character | Score |
| --- | ---: |
| Pantagruel | 49.00 |
| Panurg | 39.00 |
| Romeo | 28.00 |
| Gargantua | 25.00 |
| Julia | 24.00 |","| Character | Score |
| --- | ---: |
| nieprzyjaciele | -32.00 |
| Banko | -22.00 |
| Wilkołak | -22.00 |
| Makbet | -19.00 |
| Żółcik | -18.00 |"
6.0,7,0.007646361014009176,0.00011740736903898615,0.010575432625204688,0.005076142131979695,-0.2014388489208633,46,68,o_poprawie_rzeczypospolitej,renesans,o_poprawie_rzeczypospolitej.csv,"| Character | Score |
| --- | ---: |
| Chrystus | 7.00 |
| dzieci | 7.00 |
| Julia | 5.00 |
| Romeo | 4.00 |
| Cicero | 3.00 |","| Character | Score |
| --- | ---: |
| nieznany szlachcic | -5.00 |
| raniony człowiek | -4.00 |
| Cornelius Rufinus | -4.00 |
| inni ludzie | -4.00 |
| Makbet | -4.00 |"
20.0,17,0.00528707971830528,0.0009728714792072305,0.01562771791165219,0.0011890606420927466,-0.043859649122807015,229,253,proby_ksiega_druga,renesans,proby_ksiega_druga.csv,"| Character | Score |
| --- | ---: |
| Romeo | 18.00 |
| Julia | 18.00 |
| Juliusz Cezar | 14.00 |
| pies | 10.00 |
| narrator | 9.00 |","| Character | Score |
| --- | ---: |
| Scytowie | -14.00 |
| Makbet | -12.00 |
| Banko | -12.00 |
| Wokulski | -8.00 |
| Łęcka | -8.00 |"
15.0,37,0.004651572461351198,0.0004583552390286257,0.012943583104455422,0.0011876484560570072,-0.14883720930232558,174,272,proby_ksiega_pierwsza,renesans,proby_ksiega_pierwsza.csv,"| Character | Score |
| --- | ---: |
| Montaigne | 20.00 |
| dzieci | 7.00 |
| Sokrates | 7.00 |
| Stefan de la Boêtie | 6.00 |
| Henryk IV (król Nawarry) | 6.00 |","| Character | Score |
| --- | ---: |
| Psamenit | -10.00 |
| Aleksander | -8.00 |
| filozofowie | -8.00 |
| kat | -6.00 |
| Książę de Valentinois | -6.00 |"
13.0,25,0.008546407094269022,0.0013759186426821942,0.029077325780348554,0.00234192037470726,-0.17563739376770537,98,150,proby_ksiega_trzecia,renesans,proby_ksiega_trzecia.csv,"| Character | Score |
| --- | ---: |
| Romeo | 10.00 |
| Julia | 10.00 |
| Narrator | 6.00 |
| Epaminondas | 4.00 |
| Sokrates | 4.00 |","| Character | Score |
| --- | ---: |
| najeźdźcy | -9.00 |
| sędziowie | -9.00 |
| Kazał | -8.00 |
| Platon | -5.00 |
| Arminiusz | -4.00 |"
9.0,126,0.0022539565748436272,0.0027916748242509666,0.25141884725368896,0.0014684287812041115,0.16946160635481025,227,185,aleksander_dumas_trzej_muszkieterowie_tom_2,romantyzm,aleksander_dumas_trzej_muszkieterowie_tom_2.csv,"| Character | Score |
| --- | ---: |
| d'Artagnan | 176.00 |
| Atos | 109.00 |
| Aramis | 70.00 |
| Julia | 61.00 |
| Romeo | 46.00 |","| Character | Score |
| --- | ---: |
| Felton | -68.00 |
| Buckingham | -53.00 |
| Milady | -48.00 |
| milady | -38.00 |
| lord Winter | -22.00 |"
8.0,146,0.0028477229058163,0.0020009820304283843,0.17763197374674777,0.0014970059880239528,0.4981684981684982,278,126,andersen_tylko_grajek,romantyzm,andersen_tylko_grajek.csv,"| Character | Score |
| --- | ---: |
| Krystian | 178.00 |
| Naomi | 122.00 |
| Marya | 55.00 |
| Łucja | 32.00 |
| Piotr Wik | 27.00 |","| Character | Score |
| --- | ---: |
| Makbet | -8.00 |
| Banko | -8.00 |
| Niels | -8.00 |
| hrabina | -5.00 |
| pan Patermann | -5.00 |"
7.0,142,0.013288158412037556,0.004850125928958703,0.2614436071093602,0.0024875621890547263,0.0,0,0,balzac_komedia_ludzka_jaszczur,romantyzm,balzac_komedia_ludzka_jaszczur.csv,"| Character | Score |
| --- | ---: |
| Honoré Balzac | 0.00 |
| romanticism | 0.00 |
| fantastic element | 0.00 |
| realism | 0.00 |
| German influences | 0.00 |","| Character | Score |
| --- | ---: |
| Honoré Balzac | 0.00 |
| romanticism | 0.00 |
| fantastic element | 0.00 |
| realism | 0.00 |
| German influences | 0.00 |"
9.0,216,0.004932380032718009,0.0026506061526795775,0.23021502607042899,0.0017301038062283764,0.32505643340857787,207,125,balzac_komedia_ludzka_stracone_zludzenia_wielki_czlowiek_z_prowincji,romantyzm,balzac_komedia_ludzka_stracone_zludzenia_wielki_czlowiek_z_prowincji.csv,"| Character | Score |
| --- | ---: |
| Lucjan | 164.00 |
| Koralia | 93.00 |
| Stefan | 23.00 |
| Camusot | 22.00 |
| Floryna | 21.00 |","| Character | Score |
| --- | ---: |
| Vernou | -13.00 |
| Matifat | -6.00 |
| Ludwik XVIII | -5.00 |
| baron du Châtelet | -4.00 |
| Michał | -4.00 |"
10.0,165,0.003997953207186458,0.002598832381135593,0.2241520714012838,0.0010718113612004287,0.5767634854771784,415,200,bronte_dziwne_losy_jane_eyre,romantyzm,bronte_dziwne_losy_jane_eyre.csv,"| Character | Score |
| --- | ---: |
| Jane | 205.00 |
| narrator | 110.00 |
| pan Rochester | 98.00 |
| Adela | 88.00 |
| Romeo | 86.00 |","| Character | Score |
| --- | ---: |
| Makbet | -32.00 |
| Banko | -32.00 |
| John Reed | -26.00 |
| Łęcka | -16.00 |
| Wokulski | -15.00 |"
