epoch,books,diameter_mean,max_degree_mean,clustering_mean,betweenness_mean,closeness_mean,page_rank_mean,relationship_score_mean,protagonist_count_mean,antagonist_count_mean
barok,6,11.833333333333334,116.16666666666667,0.005962567141844334,0.0032892545743994192,0.13479764371734415,0.002304961545639211,-0.0027999396152094493,197.33333333333334,172.5
mloda-polska-modernizm,2,11.0,87.5,0.0023727267466220328,0.002966902400115928,0.16221109898086813,0.0014577532070570553,-0.10355077120822623,226.0,325.5
modernizm,3,12.0,129.66666666666666,0.00464271317888111,0.0023462674385587817,0.18338705637317343,0.0011138255679560831,0.4312470960089719,394.6666666666667,209.33333333333334
pozytywizm,4,8.5,82.0,0.005899946680769749,0.002492916781793196,0.16705252214966584,0.0023039664897526544,0.27733645566726317,154.75,121.0
renesans,5,14.2,67.4,0.005703078839558344,0.0007369013489287768,0.03460014532893474,0.0020632840027618123,-0.1275027017007128,204.2,253.8
romantyzm,5,9.2,153.4,0.0033654495586036234,0.0029312135963062403,0.21212053700179348,0.001655982550145444,0.40320624399805227,254.6,148.4
